,lsoa,Names,Number of Burglary2012,Average time,Aged 65+Percentage,Working-age,Area (Hectares),Population Density Persons per hectare,% of households with no adults in employment: With dependent children,Median house income 2011/12,Average median house price(2010-2012)
4010,E01004108,Sutton 024C,17,47.19,17.83,1000,458.2,4,3,30000.0,323833.0
4011,E01004109,Sutton 024D,9,51.0,15.3,1034,66.5,24,5,31810.0,250833.0
4012,E01004110,Sutton 016A,20,24.82,14.78,1234,31.1,60,3,40340.0,258333.0
4013,E01004111,Sutton 016B,15,31.07,16.94,916,47.7,32,4,31460.0,270833.0
4014,E01004112,Sutton 016C,9,30.61,21.37,981,52.4,32,1,36190.0,474583.0
4015,E01004114,Sutton 025D,12,323.13,26.04,968,154.4,11,1,36870.0,774167.0
4016,E01004115,Sutton 009A,34,27.45,15.68,1094,26.0,67,2,30960.0,249483.0
4017,E01004116,Sutton 008A,8,28.85,28.79,899,32.3,50,1,36450.0,337325.0
4018,E01004117,Sutton 006A,9,33.07,13.74,956,25.5,57,1,28190.0,319833.0
4019,E01004118,Sutton 009B,18,31.09,17.0,1074,27.1,62,3,32050.0,229833.0
4020,E01004119,Sutton 009C,11,30.8,13.27,965,25.6,56,1,27400.0,293308.0
4021,E01004120,Sutton 016D,13,32.61,18.65,1006,28.9,54,2,28950.0,380492.0
4022,E01004121,Sutton 006B,12,21.66,15.14,1045,25.3,63,2,29360.0,301667.0
4023,E01004122,Sutton 008B,6,22.96,20.37,868,25.9,55,1,29540.0,339167.0
4024,E01004123,Sutton 002A,22,33.67,7.33,1511,40.7,54,8,29870.0,192333.0
4025,E01004124,Sutton 002B,13,36.51,10.4,1208,18.4,101,8,30120.0,210908.0
4026,E01004125,Sutton 001A,6,32.29,11.93,1019,13.9,117,5,31620.0,199750.0
4027,E01004126,Sutton 002C,8,33.63,10.25,955,12.9,119,11,30810.0,190667.0
4028,E01004127,Sutton 005A,8,34.15,9.16,1087,20.6,80,5,31570.0,215833.0
4029,E01004128,Sutton 002D,6,31.57,10.15,1035,17.1,88,9,34320.0,197500.0
4030,E01004129,Sutton 002E,16,26.84,14.49,1115,26.5,69,8,35660.0,191000.0
4031,E01004130,Sutton 003A,35,32.82,17.25,1020,67.6,24,3,38410.0,251667.0
4032,E01004131,Sutton 003B,16,32.69,14.15,1043,20.5,80,3,34410.0,240650.0
4033,E01004132,Sutton 009D,4,31.13,13.47,934,17.1,89,1,33420.0,276242.0
4034,E01004133,Sutton 009E,10,30.53,14.22,938,19.2,78,2,31560.0,269317.0
4035,E01004134,Sutton 003C,28,30.58,15.49,943,21.9,65,3,40260.0,262833.0
4036,E01004135,Sutton 003D,15,45.3,18.55,917,27.7,51,2,31310.0,282013.0
4037,E01004136,Sutton 003E,19,35.6,15.45,1040,24.1,65,2,33870.0,265333.0
4038,E01004137,Sutton 012A,10,5.97,11.51,1130,23.2,70,3,30510.0,210575.0
4039,E01004138,Sutton 013C,12,12.74,8.4,1129,16.9,94,4,34170.0,230833.0
4040,E01004139,Sutton 013D,9,9.64,11.67,943,15.5,88,3,29850.0,210500.0
4041,E01004140,Sutton 012B,21,13.1,13.18,1053,13.2,115,6,30810.0,145167.0
4042,E01004141,Sutton 012C,10,13.22,14.77,1040,12.0,130,6,31230.0,158667.0
4043,E01004142,Sutton 012D,38,7.26,10.93,1523,38.4,57,6,29780.0,197167.0
4044,E01004143,Sutton 014A,4,12.96,10.79,992,11.8,124,5,32190.0,214875.0
4045,E01004144,Sutton 007A,20,28.54,19.16,1056,40.7,41,3,30200.0,277583.0
4046,E01004145,Sutton 007B,18,29.83,13.25,1384,45.8,46,3,28870.0,249167.0
4047,E01004146,Sutton 007C,19,20.6,15.78,1094,21.4,83,5,44280.0,226000.0
4048,E01004147,Sutton 007D,9,23.86,22.4,941,28.7,55,2,40360.0,269833.0
4049,E01004148,Sutton 014B,17,21.49,12.28,1002,23.5,69,6,42950.0,225817.0
4050,E01004149,Sutton 012E,5,18.45,21.47,1083,27.4,65,4,45120.0,191667.0
4051,E01004150,Sutton 021C,7,5.6,20.48,1078,16.1,102,2,37980.0,174167.0
4052,E01004151,Sutton 021D,6,9.13,14.2,1247,20.1,87,3,36190.0,199583.0
4053,E01004152,Sutton 018A,9,7.48,21.06,1054,20.5,78,4,44540.0,186667.0
4054,E01004153,Sutton 021E,12,10.52,14.11,1234,17.3,105,3,35330.0,196667.0
4055,E01004154,Sutton 022E,8,14.8,20.97,879,34.1,42,0,33350.0,356167.0
4056,E01004155,Sutton 018B,6,12.49,14.48,1165,19.1,88,1,29880.0,211333.0
4057,E01004156,Sutton 018C,6,6.32,14.65,1211,20.8,83,2,41070.0,190000.0
4058,E01004157,Sutton 016E,7,19.33,16.63,805,26.2,48,1,33920.0,441583.0
4059,E01004158,Sutton 018D,6,13.88,15.78,1008,23.8,63,1,44750.0,221167.0
4060,E01004159,Sutton 014C,11,21.44,16.81,970,34.1,44,3,36880.0,232750.0
4061,E01004160,Sutton 014D,11,14.47,10.51,1118,22.6,72,3,35280.0,215733.0
4062,E01004161,Sutton 014E,10,20.83,11.36,1013,32.7,46,2,46400.0,254667.0
4063,E01004162,Sutton 018E,9,8.4,15.3,1064,17.8,89,3,32510.0,204323.0
4064,E01004163,Sutton 005B,9,36.62,15.14,1018,21.7,72,3,31960.0,236067.0
4065,E01004164,Sutton 004A,14,36.19,15.8,991,23.5,62,3,29680.0,241667.0
4066,E01004165,Sutton 005C,15,29.49,11.26,1203,25.0,69,4,30750.0,220825.0
4067,E01004166,Sutton 004B,13,34.09,15.29,1000,24.7,59,2,32310.0,206983.0
4068,E01004167,Sutton 005D,9,28.67,13.08,862,16.4,84,5,33650.0,242900.0
4069,E01004168,Sutton 013E,6,23.13,16.36,1019,22.5,70,1,33760.0,250000.0
4070,E01004169,Sutton 004C,12,38.36,8.99,731,14.5,78,7,28310.0,162167.0
4071,E01004170,Sutton 017B,15,31.93,12.22,1330,25.1,76,2,30260.0,180666.0
4072,E01004171,Sutton 010A,19,43.06,17.52,944,36.8,42,1,29710.0,274667.0
4073,E01004172,Sutton 010B,26,41.2,11.02,1096,17.9,91,8,35240.0,163667.0
4074,E01004173,Sutton 010C,9,43.64,15.53,912,22.6,62,3,32180.0,256650.0
4075,E01004174,Sutton 017C,7,40.3,12.53,991,17.1,87,2,33330.0,256917.0
4076,E01004175,Sutton 010D,6,47.61,14.22,1082,26.0,63,4,45030.0,241667.0
4077,E01004176,Sutton 010E,11,32.8,9.27,1019,16.1,90,3,32720.0,219250.0
4078,E01004177,Sutton 020C,11,32.53,27.94,998,22.3,80,5,40610.0,160150.0
4079,E01004178,Sutton 017D,34,30.09,14.21,1416,24.2,85,3,35800.0,153917.0
4080,E01004179,Sutton 017E,15,35.28,14.49,1030,23.0,68,2,43290.0,298333.0
4081,E01004180,Sutton 020D,13,32.82,21.64,1047,59.7,28,2,42630.0,454817.0
4082,E01004181,Sutton 020E,15,39.02,17.13,1121,28.1,61,4,43640.0,215817.0
4083,E01004182,Sutton 019E,15,32.53,11.04,1001,14.7,107,10,48370.0,234475.0
4084,E01004183,Sutton 001B,8,29.67,9.21,1173,21.3,81,7,48390.0,174167.0
4085,E01004184,Sutton 001C,7,26.21,8.56,1028,27.6,59,13,37450.0,191500.0
4086,E01004185,Sutton 001D,10,28.63,6.11,1039,40.4,37,10,41890.0,185000.0
4087,E01004186,Sutton 004D,9,36.46,6.69,1310,29.9,60,4,42070.0,159158.0
4088,E01004187,Sutton 005E,9,46.9,12.99,1028,17.4,92,5,47560.0,221233.0
4089,E01004188,Sutton 004E,22,40.63,8.89,1159,35.3,49,7,46100.0,182998.0
4090,E01004189,Sutton 001E,9,20.06,12.73,1239,33.6,57,7,38540.0,201750.0
4091,E01004190,Sutton 008C,12,26.32,18.44,877,26.4,51,2,42730.0,340467.0
4092,E01004191,Sutton 008D,11,25.68,18.92,1038,24.5,68,3,36050.0,272000.0
4093,E01004192,Sutton 006C,12,30.14,9.5,1348,39.0,50,4,40840.0,255650.0
4094,E01004193,Sutton 006D,9,29.89,6.46,1778,37.1,73,5,33400.0,300000.0
4095,E01004194,Sutton 008E,11,29.27,14.93,939,20.5,69,3,43510.0,227750.0
4096,E01004195,Sutton 006E,19,21.29,14.53,1085,23.7,69,3,37210.0,273667.0
4097,E01004196,Sutton 008F,4,24.98,19.55,899,24.4,59,3,32870.0,272317.0
4098,E01004197,Tower Hamlets 002A,63,9.42,4.45,1933,17.0,152,7,32960.0,265908.0
4099,E01004198,Tower Hamlets 002B,24,5.26,12.04,1075,9.5,163,8,61960.0,262499.0
4100,E01004199,Tower Hamlets 002C,20,6.94,7.85,1035,6.9,234,16,51270.0,252167.0
4101,E01004200,Tower Hamlets 005A,19,10.03,3.6,1346,5.7,276,4,44740.0,333333.0
4102,E01004201,Tower Hamlets 002D,20,9.54,7.37,1160,13.0,123,7,54000.0,272375.0
4103,E01004202,Tower Hamlets 005B,18,12.76,3.91,1375,11.2,153,8,55890.0,282500.0
4104,E01004203,Tower Hamlets 005C,23,6.65,5.67,1464,10.5,181,7,56170.0,287667.0
4105,E01004204,Tower Hamlets 005D,18,11.06,13.35,1111,8.5,195,8,62890.0,271667.0
4106,E01004205,Tower Hamlets 013A,14,12.45,4.76,1513,13.5,160,13,37460.0,198983.0
4107,E01004206,Tower Hamlets 013B,10,8.52,7.59,1066,7.7,192,10,37210.0,207667.0
4108,E01004207,Tower Hamlets 011A,23,8.91,7.09,1024,6.9,201,8,52280.0,304333.0
4109,E01004208,Tower Hamlets 013C,19,11.14,1.98,1807,16.2,128,3,52880.0,254282.0
4110,E01004209,Tower Hamlets 011B,12,3.38,5.93,924,8.0,170,16,36650.0,216666.0
4111,E01004211,Tower Hamlets 013D,27,8.66,4.61,1317,16.5,93,3,53500.0,251917.0
4112,E01004212,Tower Hamlets 011D,37,4.97,4.94,1410,8.8,203,8,47480.0,265000.0
4113,E01004214,Tower Hamlets 030A,3,34.01,6.53,1091,6.7,246,12,33120.0,187642.0
4114,E01004215,Tower Hamlets 028A,17,32.9,5.9,2249,30.2,101,8,33680.0,334915.0
4115,E01004216,Tower Hamlets 030B,1,36.91,5.8,1340,9.1,190,6,33000.0,290167.0
4116,E01004217,Tower Hamlets 030C,11,26.73,9.94,1279,41.3,44,6,47090.0,269500.0
4117,E01004218,Tower Hamlets 030D,4,26.46,6.55,1370,14.7,122,5,29930.0,295250.0
4118,E01004219,Tower Hamlets 028B,14,23.98,4.23,1643,20.0,112,11,52940.0,244917.0
4119,E01004221,Tower Hamlets 028D,8,30.3,4.78,1513,13.3,145,6,37380.0,325167.0
4120,E01004222,Tower Hamlets 001A,31,23.31,11.15,1703,13.8,186,11,37220.0,256158.0
4121,E01004223,Tower Hamlets 001B,21,27.5,11.48,1440,59.2,35,9,36110.0,341667.0
4122,E01004224,Tower Hamlets 001C,26,32.85,8.6,1525,43.9,47,8,41270.0,250872.0
4123,E01004225,Tower Hamlets 004A,32,27.14,3.05,2002,12.6,185,3,40120.0,268317.0
4124,E01004226,Tower Hamlets 001D,29,22.27,7.0,1176,9.3,186,11,38790.0,221917.0
4125,E01004228,Tower Hamlets 003A,35,18.82,9.05,1395,12.7,147,5,39730.0,410000.0
4126,E01004229,Tower Hamlets 004C,16,20.42,7.42,1107,10.4,145,8,28760.0,266667.0
4127,E01004230,Tower Hamlets 003B,29,16.14,9.19,1500,15.8,133,7,42830.0,264083.0
4128,E01004231,Tower Hamlets 004D,12,23.31,7.4,1211,10.8,168,14,41470.0,257417.0
4129,E01004232,Tower Hamlets 003C,21,17.31,5.83,1388,19.3,89,3,34600.0,513333.0
4130,E01004233,Tower Hamlets 003D,14,20.76,10.5,1177,8.3,218,9,40450.0,233917.0
4131,E01004234,Tower Hamlets 003E,48,16.59,7.35,1618,57.3,38,4,28090.0,473667.0
4132,E01004235,Tower Hamlets 008A,5,28.35,7.07,879,4.0,342,11,28970.0,199167.0
4133,E01004236,Tower Hamlets 008B,20,27.49,5.64,1104,10.2,165,17,32060.0,181000.0
4134,E01004237,Tower Hamlets 008C,10,24.77,6.78,847,6.5,188,12,48120.0,189667.0
4135,E01004238,Tower Hamlets 008D,41,29.55,3.82,2350,35.5,94,11,47770.0,253333.0
4136,E01004239,Tower Hamlets 008E,11,23.76,8.91,1063,10.7,152,12,46470.0,200250.0
4137,E01004240,Tower Hamlets 012A,21,21.12,6.44,1135,8.7,204,15,42780.0,238583.0
4138,E01004241,Tower Hamlets 012B,18,19.69,6.45,1051,11.7,138,12,45860.0,202333.0
4139,E01004242,Tower Hamlets 012C,45,21.17,3.26,2102,20.2,154,12,37930.0,252000.0
4140,E01004243,Tower Hamlets 020A,28,29.02,7.13,1144,11.7,150,14,42110.0,187917.0
4141,E01004244,Tower Hamlets 020B,15,19.31,11.03,1239,13.8,144,13,42090.0,220500.0
4142,E01004245,Tower Hamlets 018A,18,30.95,4.15,975,21.2,74,22,39770.0,164417.0
4143,E01004246,Tower Hamlets 018B,39,21.62,6.62,1469,20.4,101,9,41060.0,292167.0
4144,E01004247,Tower Hamlets 020C,40,22.14,6.68,1404,11.9,176,12,40930.0,239167.0
4145,E01004248,Tower Hamlets 018C,15,25.61,7.67,833,10.7,133,18,41170.0,185333.0
4146,E01004249,Tower Hamlets 018D,25,23.96,4.93,1352,18.2,109,14,40490.0,196833.0
4147,E01004250,Tower Hamlets 020D,24,20.09,7.12,1506,10.0,232,14,42850.0,202000.0
4148,E01004251,Tower Hamlets 023A,48,14.31,8.86,1394,12.7,162,10,46970.0,216583.0
4149,E01004252,Tower Hamlets 024A,22,13.21,4.85,1985,16.1,171,10,51890.0,236500.0
4150,E01004253,Tower Hamlets 024B,25,15.72,7.22,1605,15.3,162,15,38140.0,216083.0
4151,E01004254,Tower Hamlets 023B,41,13.94,1.95,1930,17.1,132,2,41700.0,335417.0
4152,E01004255,Tower Hamlets 023C,13,11.23,4.66,1172,9.4,172,9,38380.0,264917.0
4153,E01004256,Tower Hamlets 024C,8,17.19,8.44,1168,14.3,123,12,41600.0,241500.0
4154,E01004257,Tower Hamlets 024D,16,20.64,6.42,1207,12.6,151,17,41770.0,217000.0
4155,E01004258,Tower Hamlets 023D,9,13.66,8.89,1131,9.8,155,4,46580.0,505833.0
4156,E01004259,Tower Hamlets 007A,19,2.55,5.31,1399,13.3,131,5,52520.0,248666.0
4157,E01004260,Tower Hamlets 007B,13,7.85,7.13,1215,9.8,182,11,40040.0,250000.0
4158,E01004261,Tower Hamlets 010A,36,15.27,3.86,1964,16.6,146,8,41280.0,284125.0
4159,E01004262,Tower Hamlets 010B,13,11.68,6.53,1357,14.7,116,7,41980.0,255167.0
4160,E01004263,Tower Hamlets 007C,13,8.84,11.24,936,8.2,175,11,38800.0,247917.0
4161,E01004264,Tower Hamlets 010C,15,16.83,8.22,996,6.1,250,14,39830.0,213000.0
4162,E01004266,Tower Hamlets 007D,6,5.94,8.25,1124,8.2,189,8,43980.0,374158.0
4163,E01004267,Tower Hamlets 012D,33,20.81,3.48,1539,21.1,94,8,40830.0,237250.0
4164,E01004268,Tower Hamlets 012E,6,20.58,5.95,1268,5.2,345,11,42340.0,221267.0
4165,E01004269,Tower Hamlets 014A,21,19.89,7.94,1486,15.5,136,8,31480.0,246667.0
4166,E01004270,Tower Hamlets 014B,20,18.81,3.63,1948,29.3,82,6,31770.0,335000.0
4167,E01004271,Tower Hamlets 014C,9,18.2,5.27,997,9.6,164,12,30650.0,215500.0
4168,E01004272,Tower Hamlets 014D,20,17.88,6.42,1354,9.5,228,15,30810.0,226667.0
4169,E01004273,Tower Hamlets 014E,21,15.62,5.94,1375,16.9,122,16,33160.0,308479.0
4170,E01004274,Tower Hamlets 031A,7,26.8,4.94,1501,8.5,243,9,30860.0,376907.0
4171,E01004275,Tower Hamlets 031B,9,25.6,6.0,1502,13.9,143,6,29990.0,295333.0
4172,E01004276,Tower Hamlets 031C,8,24.22,2.59,1891,8.1,266,1,37590.0,338667.0
4173,E01004277,Tower Hamlets 033A,26,21.15,3.4,1440,43.1,38,0,38010.0,415333.0
4174,E01004280,Tower Hamlets 032A,5,29.79,5.83,1351,13.6,137,7,39650.0,331167.0
4175,E01004281,Tower Hamlets 031D,6,29.92,1.38,1597,12.6,150,4,40380.0,271500.0
4176,E01004283,Tower Hamlets 016A,23,16.58,9.95,1692,15.1,162,10,37670.0,239250.0
4177,E01004284,Tower Hamlets 019A,16,19.34,5.75,1685,19.1,124,8,38130.0,236000.0
4178,E01004285,Tower Hamlets 019B,11,18.14,5.0,1559,12.5,191,13,37710.0,239667.0
4179,E01004286,Tower Hamlets 019C,18,16.99,7.0,1591,15.6,150,11,37010.0,388000.0
4180,E01004287,Tower Hamlets 016B,6,20.02,10.2,1459,8.5,259,8,38100.0,262500.0
4181,E01004288,Tower Hamlets 019D,18,19.81,9.66,987,10.3,155,14,38890.0,212000.0
4182,E01004289,Tower Hamlets 016C,18,22.31,9.6,1331,10.5,181,6,30900.0,380833.0
4183,E01004290,Tower Hamlets 016D,19,13.29,12.31,943,10.3,122,4,33190.0,333332.0
4184,E01004291,Tower Hamlets 027A,23,29.09,6.54,1545,11.6,160,3,33000.0,433000.0
4185,E01004292,Tower Hamlets 026A,13,28.37,4.79,1533,15.0,120,2,37190.0,417167.0
4186,E01004293,Tower Hamlets 027B,27,25.33,7.91,1763,32.6,65,1,38980.0,527500.0
4187,E01004294,Tower Hamlets 026B,34,23.72,5.27,1427,21.3,80,2,37620.0,349250.0
4188,E01004295,Tower Hamlets 026C,8,22.2,6.1,1039,8.1,206,12,37510.0,260758.0
4189,E01004296,Tower Hamlets 026D,24,27.29,6.47,1237,13.5,128,5,39010.0,285792.0
4190,E01004297,Tower Hamlets 027C,30,26.68,7.21,1515,12.0,157,1,35610.0,435333.0
4191,E01004298,Tower Hamlets 022A,12,21.8,8.58,1109,9.2,173,10,36050.0,208333.0
4192,E01004300,Tower Hamlets 022B,5,25.18,9.86,916,5.2,264,9,35240.0,264917.0
4193,E01004301,Tower Hamlets 025B,12,22.91,6.31,897,8.2,163,13,39370.0,368583.0
4194,E01004302,Tower Hamlets 025C,14,22.85,3.83,1359,5.0,398,14,37780.0,225833.0
4195,E01004303,Tower Hamlets 025D,18,24.72,6.6,1720,22.2,109,7,38400.0,302500.0
4196,E01004304,Tower Hamlets 022C,19,19.27,7.12,1355,10.3,193,10,47720.0,284167.0
4197,E01004305,Tower Hamlets 022D,16,23.42,9.52,1293,9.1,214,12,40730.0,233083.0
4198,E01004306,Tower Hamlets 015A,20,12.74,6.75,1445,12.2,150,4,40370.0,368317.0
4199,E01004307,Tower Hamlets 015B,59,14.73,2.36,2348,21.5,119,2,45680.0,442667.0
4200,E01004308,Tower Hamlets 015C,8,12.33,7.86,1077,8.3,176,8,41990.0,307750.0
4201,E01004309,Tower Hamlets 015D,33,12.62,5.4,2305,12.7,231,7,38110.0,285000.0
4202,E01004310,Tower Hamlets 015E,22,14.79,6.88,1613,9.2,218,5,39450.0,307167.0
4203,E01004311,Tower Hamlets 006A,11,18.97,9.97,1070,8.5,180,8,40590.0,268000.0
4204,E01004312,Tower Hamlets 009A,14,15.88,9.89,1117,6.9,231,8,40110.0,261333.0
4205,E01004313,Tower Hamlets 009B,18,12.74,6.26,1500,8.2,253,12,35540.0,298792.0
4206,E01004314,Tower Hamlets 006B,10,15.09,11.48,801,8.3,132,2,37430.0,611667.0
4207,E01004315,Tower Hamlets 006C,21,17.25,8.69,1297,9.6,171,4,35650.0,346167.0
4208,E01004316,Tower Hamlets 009C,17,16.62,4.34,915,3.5,327,9,38000.0,387500.0
4209,E01004317,Tower Hamlets 009D,58,13.92,3.27,2488,27.1,111,4,34130.0,345833.0
4210,E01004318,Tower Hamlets 006D,18,17.9,4.84,1078,5.9,250,10,37670.0,222000.0
4211,E01004319,Tower Hamlets 021A,12,19.04,7.19,1389,9.0,222,11,35600.0,249833.0
4212,E01004321,Tower Hamlets 021C,17,15.83,7.69,1352,10.4,174,8,38990.0,361667.0
4213,E01004322,Tower Hamlets 017A,23,14.79,8.0,950,14.2,93,7,39350.0,244833.0
4214,E01004323,Tower Hamlets 017B,16,17.29,6.55,1103,7.1,212,7,35850.0,263333.0
4215,E01004324,Tower Hamlets 017C,11,15.2,5.94,1122,7.6,210,11,37940.0,288833.0
4216,E01004325,Tower Hamlets 021D,48,14.24,4.16,2133,13.7,185,4,38660.0,377500.0
4217,E01004326,Tower Hamlets 017D,19,17.96,6.7,1120,8.4,178,6,37130.0,196667.0
4218,E01004327,Waltham Forest 028A,6,24.83,12.4,827,11.7,103,5,38990.0,212667.0
4219,E01004328,Waltham Forest 028B,31,27.41,5.44,1425,10.3,185,5,34060.0,224417.0
4220,E01004329,Waltham Forest 028C,25,22.92,5.52,1459,11.6,171,7,36720.0,218000.0
4221,E01004330,Waltham Forest 028D,8,25.67,7.47,1344,9.5,191,5,41180.0,233165.0
4222,E01004331,Waltham Forest 028E,21,20.0,6.11,1385,10.6,180,8,43210.0,201667.0
4223,E01004332,Waltham Forest 028F,17,25.4,7.23,1340,11.5,162,6,37270.0,219250.0
4224,E01004333,Waltham Forest 024A,15,27.98,6.29,1169,10.0,170,10,33940.0,248917.0
4225,E01004334,Waltham Forest 024B,10,27.33,10.04,1009,10.7,145,12,30400.0,188083.0
4226,E01004335,Waltham Forest 027A,10,30.06,5.66,1178,12.0,153,20,31060.0,220333.0
4227,E01004336,Waltham Forest 026A,5,38.63,6.68,1396,21.7,80,5,30620.0,172000.0
4228,E01004337,Waltham Forest 027B,23,32.12,8.17,1363,11.4,173,7,35340.0,217500.0
4229,E01004338,Waltham Forest 027C,13,33.77,7.33,1376,9.1,196,4,32850.0,264166.0
4230,E01004339,Waltham Forest 027D,15,30.78,4.54,1386,10.4,184,7,34760.0,222833.0
4231,E01004340,Waltham Forest 027E,15,32.39,8.28,1346,26.0,73,10,30520.0,163583.0
4232,E01004341,Waltham Forest 027F,6,29.61,9.29,1208,15.0,117,9,41280.0,207667.0
4233,E01004342,Waltham Forest 011A,35,41.78,8.43,1554,36.0,63,5,38330.0,235500.0
4234,E01004343,Waltham Forest 008A,23,34.78,10.72,1217,27.4,65,3,39750.0,259999.0
4235,E01004344,Waltham Forest 008B,38,30.4,7.75,1212,38.2,48,8,40540.0,220167.0
4236,E01004345,Waltham Forest 010A,14,29.05,7.48,1312,14.2,139,8,38520.0,224000.0
4237,E01004346,Waltham Forest 011B,19,30.83,9.29,1080,18.5,92,7,38730.0,248333.0
4238,E01004347,Waltham Forest 011C,19,38.46,8.44,1415,23.0,90,6,39480.0,218583.0
4239,E01004348,Waltham Forest 010B,26,29.6,5.53,1929,26.9,102,7,52560.0,230333.0
4240,E01004349,Waltham Forest 001A,17,17.2,18.26,868,63.7,22,7,36930.0,225833.0
4241,E01004350,Waltham Forest 001B,20,12.03,33.67,875,31.5,56,5,32400.0,234417.0
4242,E01004351,Waltham Forest 001C,19,8.8,21.74,942,43.6,36,4,31770.0,249665.0
4243,E01004352,Waltham Forest 002A,18,17.09,23.37,1199,147.1,13,2,39550.0,310000.0
4244,E01004353,Waltham Forest 002B,38,18.17,22.4,1106,56.4,32,3,37080.0,306333.0
4245,E01004354,Waltham Forest 002C,22,8.16,15.29,1129,30.5,58,3,39410.0,243917.0
4246,E01004355,Waltham Forest 004A,15,13.1,14.51,1068,24.5,66,7,36980.0,203667.0
4247,E01004356,Waltham Forest 001D,33,16.08,17.86,1018,47.2,34,6,33030.0,275333.0
4248,E01004357,Waltham Forest 001E,29,8.16,19.45,933,33.2,46,4,30690.0,321666.0
4249,E01004358,Waltham Forest 002D,27,5.74,19.99,1042,24.8,66,5,29510.0,200250.0
4250,E01004359,Waltham Forest 002E,15,6.99,14.68,1094,22.6,74,3,32610.0,312000.0
4251,E01004360,Waltham Forest 004B,16,13.57,21.94,805,22.6,58,4,39090.0,308833.0
4252,E01004361,Waltham Forest 005A,26,22.29,16.8,854,20.9,61,1,30690.0,275667.0
4253,E01004362,Waltham Forest 021A,16,36.03,7.7,1227,80.9,20,3,38900.0,251333.0
4254,E01004363,Waltham Forest 019A,32,35.24,10.59,1161,29.5,56,4,33580.0,281000.0
4255,E01004364,Waltham Forest 019B,13,34.96,9.46,1166,20.1,87,10,32960.0,253667.0
4256,E01004365,Waltham Forest 020A,27,34.43,5.72,1792,11.9,201,7,40430.0,218500.0
4257,E01004366,Waltham Forest 019C,15,36.85,12.9,1298,29.6,65,5,43290.0,308333.0
4258,E01004367,Waltham Forest 019D,9,38.72,10.05,1123,12.5,133,6,39750.0,236658.0
4259,E01004368,Waltham Forest 019E,11,42.26,8.91,1398,14.0,135,3,44260.0,252332.0
4260,E01004369,Waltham Forest 023A,14,44.06,4.6,1279,9.8,180,6,36520.0,184583.0
4261,E01004370,Waltham Forest 023B,7,39.19,8.28,1263,13.9,131,2,43520.0,221000.0
4262,E01004371,Waltham Forest 025A,9,41.38,8.16,1284,10.9,160,3,31170.0,262417.0
4263,E01004372,Waltham Forest 023C,8,38.47,5.32,1364,9.9,191,2,34920.0,199083.0
4264,E01004373,Waltham Forest 025B,14,38.54,8.12,1340,9.9,187,4,34270.0,207333.0
4265,E01004374,Waltham Forest 025C,15,40.49,8.71,1383,12.9,147,5,44050.0,236167.0
4266,E01004375,Waltham Forest 025D,20,40.17,6.62,1413,11.7,163,7,32990.0,223999.0
4267,E01004376,Waltham Forest 025E,17,39.47,7.8,1545,10.9,185,4,43930.0,253500.0
4268,E01004377,Waltham Forest 010C,29,47.14,12.32,1178,83.1,22,3,38280.0,282083.0
4269,E01004378,Waltham Forest 010D,32,43.01,10.74,1272,21.7,87,7,37740.0,282000.0
4270,E01004379,Waltham Forest 007A,9,33.02,11.26,996,21.2,70,2,35160.0,260915.0
4271,E01004380,Waltham Forest 007B,20,45.39,15.02,968,50.8,29,5,47800.0,283033.0
4272,E01004381,Waltham Forest 007C,31,33.01,10.51,1268,23.4,81,3,35650.0,235000.0
4273,E01004382,Waltham Forest 008C,10,36.64,9.14,838,11.8,117,14,45670.0,223167.0
4274,E01004383,Waltham Forest 007D,29,38.93,14.25,1034,23.0,71,4,30920.0,279833.0
4275,E01004384,Waltham Forest 003A,19,17.32,16.62,1131,27.3,68,8,29310.0,213167.0
4276,E01004385,Waltham Forest 003B,21,28.53,17.68,872,48.6,29,7,34470.0,235583.0
4277,E01004386,Waltham Forest 003C,35,25.06,19.49,1068,37.6,45,2,33590.0,345000.0
4278,E01004387,Waltham Forest 007E,23,28.57,14.51,983,26.5,56,2,31060.0,355000.0
4279,E01004388,Waltham Forest 007F,35,32.46,16.91,970,27.1,55,4,31050.0,219583.0
4280,E01004389,Waltham Forest 003D,25,17.29,16.98,1005,42.5,38,8,30650.0,234833.0
4281,E01004390,Waltham Forest 003E,15,21.2,15.21,986,32.4,49,9,33740.0,223500.0
4282,E01004391,Waltham Forest 014A,16,30.5,7.76,1351,74.2,25,5,29440.0,176500.0
4283,E01004392,Waltham Forest 017A,44,39.79,6.33,1760,21.3,111,7,30340.0,226667.0
4284,E01004393,Waltham Forest 014B,12,32.62,9.04,1801,14.1,170,5,28600.0,170667.0
4285,E01004394,Waltham Forest 017B,22,32.93,8.85,1303,12.0,156,8,35380.0,193667.0
4286,E01004395,Waltham Forest 018A,18,35.13,10.19,1097,149.9,11,5,29500.0,255000.0
4287,E01004396,Waltham Forest 012A,20,33.42,8.39,1277,11.1,171,5,28400.0,236500.0
4288,E01004397,Waltham Forest 017C,31,39.3,5.38,1885,23.6,105,4,30950.0,209083.0
4289,E01004398,Waltham Forest 009A,27,36.61,10.38,1301,43.0,46,12,29980.0,206825.0
4290,E01004399,Waltham Forest 009B,20,38.66,7.55,1123,79.2,22,16,34190.0,210500.0
4291,E01004400,Waltham Forest 009C,24,36.61,8.28,1207,17.3,104,7,34370.0,217000.0
